=== 316 室外 EEV + 化霜（外机1）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   BoardAddressSet=1
环温 = 5.0C   翅片1 = 11.0C
**EEVCtrlNum[804] = 99**  <- 本机实际控制几路电磁头；第 99 路之后是未用通道

  ⚠ 室外 EEV 在制热时**应该是有开度的**（按过热度控制）；
     化霜一开始必须归 0 —— 那就是 #2 的判据。

   t | St Tmd | Comp Four Fan | DefC0 | EEV1..4 目标/当前/跑 | CanDef DSig | f1410 Gap0 DefRT | 环温 翅片1 | 动作
    624 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 224/224/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  150     0 |   5.0  11.0 |
    625 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 224/224/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  151     0 |   5.0  11.0 |
    626 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 224/224/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  152     0 |   5.0  11.0 |
    627 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 225/225/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  152     0 |   5.0  11.0 |
    627 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 225/225/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  153     0 |   5.0  11.0 |
    628 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 225/225/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  154     0 |   5.0  11.0 |
    629 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 225/225/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  155     0 |   5.0  11.0 |
    630 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 225/225/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  156     0 |   5.0  11.0 |
    631 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 225/225/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  157     0 |   5.0  11.0 |
    632 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 226/226/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  158     0 |   5.0  11.0 |
    633 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 226/226/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  159     0 |   5.0  11.0 |
    634 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 226/226/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  160     0 |   5.0  11.0 |
    635 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 226/226/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  161     0 |   5.0  11.0 |
    636 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 226/226/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  162     0 |   5.0  11.0 |
    637 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 226/226/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  163     0 |   5.0  11.0 |
    637 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 227/227/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  163     0 |   5.0  11.0 |
    638 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 227/227/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  164     0 |   5.0  11.0 |
    639 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 227/227/0 209/209/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  165     0 |   5.0  11.0 |
    639 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 227/227/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  165     0 |   5.0  11.0 |
    640 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 227/227/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  166     0 |   5.0  11.0 |
    641 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 227/227/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  167     0 |   5.0  11.0 |
    642 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 227/227/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  168     0 |   5.0  11.0 |
    642 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 228/228/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  168     0 |   5.0  11.0 |
    643 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 228/228/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  169     0 |   5.0  11.0 |
    644 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 228/228/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  170     0 |   5.0  11.0 |
    645 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 228/228/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  171     0 |   5.0  11.0 |
    646 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 228/228/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  172     0 |   5.0  11.0 |
    647 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 228/228/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  173     0 |   5.0  11.0 |
    647 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 229/229/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  173     0 |   5.0  11.0 |
    648 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 229/229/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  174     0 |   5.0  11.0 |
    649 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 229/229/0 210/210/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  175     0 |   5.0  11.0 |
    649 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 229/229/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  175     0 |   5.0  11.0 |
    650 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 229/229/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  176     0 |   5.0  11.0 |
    651 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 229/229/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  177     0 |   5.0  11.0 |
    652 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 229/229/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  178     0 |   5.0  11.0 |
    652 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 230/230/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  178     0 |   5.0  11.0 |
    653 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 230/230/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  179     0 |   5.0  11.0 |
    654 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 230/230/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  180     0 |   5.0  11.0 |
    655 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 230/230/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  181     0 |   5.0  11.0 |
    656 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 230/230/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  182     0 |   5.0  11.0 |
    657 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 230/230/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  183     0 |   5.0  11.0 |
    657 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 230/230/1 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  183     0 |   5.0  11.0 |
    657 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 231/231/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  183     0 |   5.0  11.0 |
    658 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 231/231/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  184     0 |   5.0  11.0 |
    659 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 231/231/0 211/211/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  185     0 |   5.0  11.0 |
    659 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 231/231/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  185     0 |   5.0  11.0 |
    660 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 231/231/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  186     0 |   5.0  11.0 |
    661 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 231/231/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  187     0 |   5.0  11.0 |
    662 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 231/231/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  188     0 |   5.0  11.0 |
    662 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 232/232/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  188     0 |   5.0  11.0 |
    663 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 232/232/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  189     0 |   5.0  11.0 |
    664 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 232/232/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  190     0 |   5.0  11.0 |
    665 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 232/232/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  191     0 |   5.0  11.0 |
    666 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 232/232/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  192     0 |   5.0  11.0 |
    667 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 232/232/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  193     0 |   5.0  11.0 |
    667 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 233/233/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  193     0 |   5.0  11.0 |
    668 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 233/233/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  194     0 |   5.0  11.0 |
    669 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 233/233/0 212/212/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  195     0 |   5.0  11.0 |
    670 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 233/233/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  195     0 |   5.0  11.0 |
    670 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 233/233/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  196     0 |   5.0  11.0 |
    671 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 233/233/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  197     0 |   5.0  11.0 |
    672 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 233/233/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  198     0 |   5.0  11.0 |
    672 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 234/234/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  198     0 |   5.0  11.0 |
    673 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 234/234/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  199     0 |   5.0  11.0 |
    674 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 234/234/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  200     0 |   5.0  11.0 |
    675 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 234/234/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  201     0 |   5.0  11.0 |
    676 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 234/234/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  202     0 |   5.0  11.0 |
    677 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 234/234/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  203     0 |   5.0  11.0 |
    677 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 235/235/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  203     0 |   5.0  11.0 |
    678 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 235/235/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  204     0 |   5.0  11.0 |
    679 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 235/235/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  205     0 |   5.0  11.0 |
    680 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 235/235/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  206     0 |   5.0  11.0 |
    681 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 235/235/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  207     0 |   5.0  11.0 |
    682 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 235/235/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  208     0 |   5.0  11.0 |
    682 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 236/236/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  208     0 |   5.0  11.0 |
    683 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 236/236/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  209     0 |   5.0  11.0 |
    684 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 236/236/0 213/213/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  210     0 |   5.0  11.0 |
    685 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 236/236/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  210     0 |   5.0  11.0 |
    685 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 236/236/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  211     0 |   5.0  11.0 |
    686 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 236/236/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  212     0 |   5.0  11.0 |
    687 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 236/236/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  213     0 |   5.0  11.0 |
    687 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/236/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  213     0 |   5.0  11.0 |
    687 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/237/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  213     0 |   5.0  11.0 |
    688 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/237/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  214     0 |   5.0  11.0 |
    689 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/237/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  215     0 |   5.0  11.0 |
    690 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/237/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  216     0 |   5.0  11.0 |
    691 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/237/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  217     0 |   5.0  11.0 |
    692 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/237/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  218     0 |   5.0  11.0 |
    692 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 237/237/1 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  218     0 |   5.0  11.0 |
    692 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  218     0 |   5.0  11.0 |
    693 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  219     0 |   5.0  11.0 |
    694 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 214/214/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  220     0 |   5.0  11.0 |
    695 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  221     0 |   5.0  11.0 |
    696 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  222     0 |   5.0  11.0 |
    697 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  223     0 |   5.0  11.0 |
    698 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  224     0 |   5.0  11.0 |
    699 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  225     0 |   5.0  11.0 |
    700 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  226     0 |   5.0  11.0 |
    701 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  227     0 |   5.0  11.0 |
    702 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 238/238/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  228     0 |   5.0  11.0 |
    702 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 239/239/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  228     0 |   5.0  11.0 |
    703 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 239/239/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  229     0 |   5.0  11.0 |
    704 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 239/239/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  230     0 |   5.0  11.0 |
    705 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 239/239/0 215/215/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  231     0 |   5.0  11.0 |
    705 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 239/239/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  231     0 |   5.0  11.0 |
    706 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 239/239/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  232     0 |   5.0  11.0 |
    707 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 239/239/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  233     0 |   5.0  11.0 |
    707 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 240/240/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  233     0 |   5.0  11.0 |
    708 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 240/240/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  234     0 |   5.0  11.0 |
    709 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 240/240/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  235     0 |   5.0  11.0 |
    710 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 240/240/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  236     0 |   5.0  11.0 |
    711 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 240/240/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  237     0 |   5.0  11.0 |
    712 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 240/240/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  238     0 |   5.0  11.0 |
    713 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 241/241/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  238     0 |   5.0  11.0 |
    713 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 241/241/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  239     0 |   5.0  11.0 |
    714 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 241/241/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  240     0 |   5.0  11.0 |
    715 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 241/241/0 216/216/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  241     0 |   5.0  11.0 |
    715 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 241/241/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  241     0 |   5.0  11.0 |
    716 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 241/241/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  242     0 |   5.0  11.0 |
    717 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 241/241/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  243     0 |   5.0  11.0 |
    718 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 242/242/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  243     0 |   5.0  11.0 |
    718 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 242/242/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  244     0 |   5.0  11.0 |
    719 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 242/242/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  245     0 |   5.0  11.0 |
    720 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 242/242/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  246     0 |   5.0  11.0 |
    721 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 242/242/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  247     0 |   5.0  11.0 |
    722 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 242/242/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  248     0 |   5.0  11.0 |
    723 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 243/243/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  248     0 |   5.0  11.0 |
    723 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 243/243/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  249     0 |   5.0  11.0 |
    724 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 243/243/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  250     0 |   5.0  11.0 |
    725 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 243/243/0 217/217/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  251     0 |   5.0  11.0 |
    725 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 243/243/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  251     0 |   5.0  11.0 |
    726 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 243/243/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  252     0 |   5.0  11.0 |
    727 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 243/243/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  253     0 |   5.0  11.0 |
    728 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 244/244/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  253     0 |   5.0  11.0 |
    728 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 244/244/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  254     0 |   5.0  11.0 |
    729 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 244/244/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  255     0 |   5.0  11.0 |
    730 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 244/244/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  256     0 |   5.0  11.0 |
    731 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 244/244/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  257     0 |   5.0  11.0 |
    732 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 244/244/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  258     0 |   5.0  11.0 |
    733 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 245/245/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  258     0 |   5.0  11.0 |
    733 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 245/245/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  259     0 |   5.0  11.0 |
    734 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 245/245/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  260     0 |   5.0  11.0 |
    735 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 245/245/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  261     0 |   5.0  11.0 |
    736 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 245/245/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  262     0 |   5.0  11.0 |
    737 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 245/245/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  263     0 |   5.0  11.0 |
    738 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 246/246/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  263     0 |   5.0  11.0 |
    738 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 246/246/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  264     0 |   5.0  11.0 |
    739 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 246/246/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  265     0 |   5.0  11.0 |
    740 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 246/246/0 218/218/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  266     0 |   5.0  11.0 |
    740 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 246/246/0 219/219/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  266     0 |   5.0  11.0 |
