=== 330 加湿 PID 动态记录（规格书 3.8 验算，纯 Modbus）===
参数: KPS=5  TIS=100s  KDS=0  T=5s  SDF=20.0%RH

   t | Sys | 设定 实际 | E(931) | N(892) BX Z(939) 期望Z | 备注
    225 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    227 |  2 |  50.0  50.5 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    228 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    230 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    232 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    236 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    237 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    239 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    240 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    241 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    245 |  2 |  50.0  50.4 |     -6 |    0   1     0      0 | 制热故障=1 | 死区
    246 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    249 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    250 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    251 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    252 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    254 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    255 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    256 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    257 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    259 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    260 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    261 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    262 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    264 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    265 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    266 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    267 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    270 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    271 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    276 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    279 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    280 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    281 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    286 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    289 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    290 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    291 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    294 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    295 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    296 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    298 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    300 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    301 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    305 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    306 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    308 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    310 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    314 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    315 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    318 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    319 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    320 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    330 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    333 |  0 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    334 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    335 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    336 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    340 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    343 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    344 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    346 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
