已连接 state=RUNNING

=== 10Hz 采样（外机1）===
  t(s)  Fan1 Fan2 Stg IIHi Dead TwoF LastPh  ChgSec    Cmd0   Cmd1   Run0  Run1   Stop0  Stop1
  254.63    0    1   4    1    0    0  0, 1    267  49827  49787      0    313    268      0
  255.61    0    1   4    1    0    0  0, 1    268  49827  49788      0    314    269      0
  256.59    0    1   4    1    0    0  0, 1    269  49827  49789      0    315    270      0
  257.57    0    1   4    1    0    0  0, 1    270  49827  49790      0    316    271      0
  258.67    0    1   4    1    0    0  0, 1    271  49827  49791      0    317    272      0
  259.64    0    1   4    1    0    0  0, 1    272  49827  49792      0    318    273      0
  260.63    0    1   4    1    0    0  0, 1    273  49827  49793      0    319    274      0
  261.61    0    1   4    1    0    0  0, 1    274  49827  49794      0    320    275      0
  262.59    0    1   4    1    0    0  0, 1    275  49827  49795      0    321    276      0
  263.56    0    1   4    1    0    0  0, 1    276  49827  49796      0    322    277      0
  264.65    0    1   4    1    0    0  0, 1    277  49827  49797      0    323    278      0
  265.63    0    1   4    1    0    0  0, 1    278  49827  49798      0    324    279      0
  266.61    0    1   4    1    0    0  0, 1    279  49827  49799      0    325    280      0
  267.59    0    1   4    1    0    0  0, 1    280  49827  49800      0    326    281      0
  268.57    0    1   4    1    0    0  0, 1    281  49827  49801      0    327    282      0
  269.66    0    1   4    1    0    0  0, 1    282  49827  49802      0    328    283      0
  270.64    0    1   4    1    0    0  0, 1    283  49827  49803      0    329    284      0
  271.62    0    1   4    1    0    0  0, 1    284  49827  49804      0    330    285      0
  272.60    0    1   4    1    0    0  0, 1    285  49827  49805      0    331    286      0
  273.57    0    1   4    1    0    0  0, 1    286  49827  49806      0    332    287      0
  274.65    0    1   4    1    0    0  0, 1    287  49827  49807      0    333    288      0
  275.63    0    1   4    1    0    0  0, 1    288  49827  49808      0    334    289      0
  276.61    0    1   4    1    0    0  0, 1    289  49827  49809      0    335    290      0
  277.59    0    1   4    1    0    0  0, 1    290  49827  49810      0    336    291      0
  278.57    0    1   4    1    0    0  0, 1    291  49827  49811      0    337    292      0
  279.66    0    1   4    1    0    0  0, 1    292  49827  49812      0    338    293      0
  280.64    0    1   4    1    0    0  0, 1    293  49827  49813      0    339    294      0
  281.62    0    1   4    1    0    0  0, 1    294  49827  49814      0    340    295      0
  282.60    0    1   4    1    0    0  0, 1    295  49827  49815      0    341    296      0
  283.58    0    1   4    1    0    0  0, 1    296  49827  49816      0    342    297      0
  284.67    0    1   4    1    0    0  0, 1    297  49827  49817      0    343    298      0
  285.65    0    1   4    1    0    0  0, 1    298  49827  49818      0    344    299      0
  286.63    0    1   4    1    0    0  0, 1    299  49827  49819      0    345    300      0
  287.61    0    1   4    1    0    0  0, 1    300  49827  49820      0    346    301      0
  288.58    0    1   4    1    0    0  0, 1    301  49827  49821      0    347    302      0
  289.67    0    1   4    1    0    0  0, 1    302  49827  49822      0    348    303      0
  290.65    0    1   4    1    0    0  0, 1    303  49827  49823      0    349    304      0
  291.63    0    1   4    1    0    0  0, 1    304  49827  49824      0    350    305      0
  292.61    0    1   4    1    0    0  0, 1    305  49827  49825      0    351    306      0
  293.59    0    1   4    1    0    0  0, 1    306  49827  49826      0    352    307      0
  294.68    0    1   4    1    0    0  0, 1    307  49827  49827      0    353    308      0
  295.66    0    1   4    1    0    0  0, 1    308  49827  49828      0    354    309      0
  296.65    0    1   4    1    0    0  0, 1    309  49827  49829      0    355    310      0
  297.63    0    1   4    1    0    0  0, 1    310  49827  49830      0    356    311      0
  298.61    0    1   4    1    0    0  0, 1    311  49827  49831      0    357    312      0
  299.59    0    1   4    1    0    0  0, 1    312  49827  49832      0    358    313      0

共 305 次状态变化 / 300 秒
结束 state=RUNNING
